"","Activity","Subject.ID","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyAccMag-mean()","fBodyBodyAccJerkMag-mean()","fBodyBodyGyroMag-mean()","fBodyBodyGyroJerkMag-mean()","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-std()","tGravityAccMag-std()","tBodyAccJerkMag-std()","tBodyGyroMag-std()","tBodyGyroJerkMag-std()","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-std()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-std()"
"1","LAYING",10,0.276977089565657,-0.0170332984576263,-0.110873504487879,0.740684960252525,-0.207161356161616,0.108410428305944,0.0794633942257576,0.0169399674191919,-0.0162372728227273,-0.0150986647713131,-0.0917433860077424,0.0852285528396465,-0.111993956719192,-0.0397793980300505,-0.0573109579154545,-0.357419738586162,-0.357419738586162,-0.462110641822066,-0.388314506775758,-0.665691018181818,-0.391578450863636,-0.384966594429798,-0.554573027192929,-0.412057314516667,-0.463058241109444,-0.645684616799495,-0.523601248676313,-0.545223158712121,-0.458413809783333,-0.388684286908081,-0.385138891111111,-0.572513090661616,-0.710849269646465,-0.391986316171717,-0.385673788492929,-0.498647004568434,-0.964710125,-0.95504237949495,-0.927801700555556,-0.388135257723232,-0.446206050364596,-0.68333034690404,-0.58889324085202,-0.465358408925253,-0.496858788129293,-0.632505796969697,-0.708431890757576,-0.607442629772727,-0.424185928311495,-0.424185928311495,-0.409095655168687,-0.522604974987475,-0.714913442525253,-0.393411346447475,-0.42583273029202,-0.511764535653535,-0.418627017293636,-0.466687914596465,-0.72073657040404,-0.612021917085859,-0.429815824722222,-0.556786812576768,-0.535760386288384,-0.447367612044293,-0.573538825626263,-0.741397840909091
"2","LAYING",12,0.27360872421875,-0.018337204411489,-0.106649116775,0.69922245131875,0.029976775735,0.0330295544910625,0.070430311315625,0.0053115377979375,0.0003081123684,-0.0628663472537188,-0.0592027333975,0.0960742146838125,-0.0731134377315625,-0.043678823491875,-0.0574585039485312,-0.559586545675313,-0.559586545675313,-0.6300504918575,-0.63166805889875,-0.77729447821875,-0.578920210879375,-0.523287078731563,-0.7266403145,-0.599109317756219,-0.591296422972219,-0.7754265825625,-0.661246826087188,-0.74479814778125,-0.657369914584375,-0.55928367746625,-0.564239194378438,-0.717311676745625,-0.78990285099375,-0.583962207065,-0.522040023435,-0.699293531365625,-0.96738343446875,-0.9605729084375,-0.9468085636875,-0.582418267596875,-0.571359817082031,-0.79262193625,-0.727881704983125,-0.73506282621875,-0.671057678528125,-0.709726149496875,-0.8112325993125,-0.749351860259375,-0.5743864944925,-0.5743864944925,-0.566365683597188,-0.68485805678325,-0.7863865328125,-0.586922577889687,-0.553076639139062,-0.709983235125,-0.602960063359688,-0.579168053712969,-0.80858300040625,-0.750393858303125,-0.7334567315,-0.70823315425,-0.65053328158,-0.571614888155312,-0.719438065809375,-0.7973614576875
"3","LAYING",13,0.275895876198777,-0.0176504796070948,-0.109135285550765,0.709996516908257,-0.0420858101162079,0.0443010536786239,0.0794393034550306,0.00387961953328135,-0.0123485923641621,-0.0562470618980061,-0.0616613787494801,0.098866059686422,-0.0881182379434251,-0.0440836605146789,-0.0582718748712538,-0.539871637249541,-0.539871637249541,-0.625466938809174,-0.581215403184709,-0.712745036012232,-0.638817912651682,-0.493467193137125,-0.629736258731804,-0.66008217407156,-0.603340489937615,-0.710831730361468,-0.65864242140581,-0.647152817899388,-0.620471226529052,-0.589928108599083,-0.607295296423853,-0.652225306544343,-0.712054366504281,-0.624844460199083,-0.448816097853364,-0.587230562129052,-0.967268063455658,-0.953540716850153,-0.938727880275229,-0.638889532599083,-0.569700547488012,-0.728452966311927,-0.715109859672783,-0.645728612088685,-0.643337285033639,-0.715772980189602,-0.718988591831804,-0.712716428498471,-0.597230982062691,-0.597230982062691,-0.610248540269939,-0.636364939544342,-0.712056186747706,-0.620602036452599,-0.462584458627829,-0.599036895271407,-0.649606227431844,-0.562129866937645,-0.744823539571865,-0.734657989051988,-0.650623558847401,-0.685774481529052,-0.665344858593272,-0.617075473106453,-0.691915161336391,-0.733183567759939
"4","LAYING",18,0.276324152142857,-0.0172831546595266,-0.108112251068681,0.716863248351648,-0.01578199625,0.0899901746593407,0.077480921531044,0.0128850449171841,0.000848545124184616,-0.0373993798891484,-0.0678200104982143,0.0908402866868132,-0.0944029581558242,-0.044169186546978,-0.0568482569002198,-0.658370952115385,-0.658370952115385,-0.753904676895604,-0.714735668626374,-0.859899942335165,-0.714227764615385,-0.663659666593407,-0.761229192087912,-0.750020077252747,-0.744113444532967,-0.833032083021978,-0.787757637521978,-0.816385880247253,-0.755926770686813,-0.697732862178571,-0.742323821887363,-0.816286626730769,-0.88466302260989,-0.694616884972527,-0.627117507326923,-0.701596039615385,-0.980138675796703,-0.969542030412088,-0.959434177692308,-0.734644450054945,-0.732969175274725,-0.847257765851648,-0.804533729046703,-0.777361713653846,-0.745612483131868,-0.842893477884615,-0.884050472967033,-0.83861466293956,-0.689671890376374,-0.689671890376374,-0.745212812708791,-0.775779058758242,-0.88856533728022,-0.687850549203297,-0.632838238002747,-0.694874090513736,-0.742517893708791,-0.739197834642857,-0.860168954615385,-0.812175241332418,-0.759665554340659,-0.766381665384615,-0.733904051236264,-0.750189976318681,-0.789777674554945,-0.902206780607143
"5","LAYING",20,0.268425757926554,-0.0175912993773164,-0.108029145824294,0.628040637177966,-0.0373059475847458,0.10723075947935,0.079818125480791,0.00220928707107345,-0.00450611895602542,-0.0242488811785028,-0.0789448418069209,0.0856280628860452,-0.094982179135,-0.0414356124141243,-0.0543001277610169,-0.517257429345412,-0.517257429345412,-0.619698756735028,-0.516861235888701,-0.684048497355932,-0.612641113666949,-0.426398722000395,-0.665006945724294,-0.652264226931438,-0.557791286001412,-0.732835648957627,-0.626445370827119,-0.591039733449633,-0.518444509491525,-0.560278889421186,-0.584571446817062,-0.606970915061638,-0.692638075749774,-0.60484669490339,-0.369336706508757,-0.634787346548023,-0.958201862627119,-0.952506793418079,-0.940981537502825,-0.627098830685593,-0.527174601581921,-0.747362572898305,-0.684586332415254,-0.573677383024548,-0.52727797039661,-0.698354145936441,-0.684280685533898,-0.636715878557062,-0.572325820319209,-0.572325820319209,-0.588644307467599,-0.580023613494576,-0.683503744537853,-0.60314894923565,-0.381534028764124,-0.647515612457627,-0.634710081102825,-0.525907610282373,-0.760509114748588,-0.704481841200565,-0.567588605842655,-0.575002191142655,-0.648306198707062,-0.597351046813729,-0.635816314618644,-0.694680032329943
"6","LAYING",24,0.276767046391076,-0.0176822460103885,-0.107914503687664,0.69498126808399,0.0729509702152231,0.0623227714146982,0.0784735003467192,0.00396900308574016,-0.00700960558805774,-0.0212578096847769,-0.0782440202677165,0.0841740375981627,-0.0998294248142257,-0.0390749421383202,-0.0552987683401575,-0.620032665162467,-0.620032665162467,-0.713667423769029,-0.682447212750656,-0.791646550787402,-0.707613779580052,-0.611509042586877,-0.65585899482231,-0.752245372493438,-0.703641614506562,-0.719655747391076,-0.722607377748032,-0.753710479580053,-0.70948857687664,-0.650121872273806,-0.696845583388451,-0.754131617480315,-0.795019165380577,-0.675459176298425,-0.582490655185302,-0.636497458900262,-0.975329699658793,-0.96089816664042,-0.955724566194226,-0.74030054488189,-0.685979796261942,-0.736374232574803,-0.776199049939633,-0.763365457296588,-0.708251676335958,-0.764490030609974,-0.792718702440945,-0.796816516614173,-0.650862147810236,-0.650862147810236,-0.689391189346457,-0.742983126606299,-0.788997850813648,-0.664356691751496,-0.594676790059055,-0.655360521446194,-0.751378154304462,-0.688280461860892,-0.751628687821522,-0.794063529133858,-0.771969808976378,-0.735749934304462,-0.705928425819685,-0.682447145993307,-0.782076276167979,-0.796157264514436
"7","SITTING",22,0.242298449272727,-0.0316561370181818,-0.105664296590909,0.870172199545455,-0.350769156818182,-0.1765357405,0.105897183954545,0.0320774996545455,-0.0326983629140909,0.119614300727273,-0.172162155445455,-0.0046475084,-0.119050870677727,-0.0593756069681818,-0.0743422650272727,0.194598717272727,0.194598717272727,-0.0662072290227273,-0.137333612554545,-0.543885972272727,-0.0414589456,0.1231057773,-0.198565773954545,0.00774466264545455,-0.042898966,-0.38815349,-0.237124032272727,-0.483080167727273,-0.158548504727273,-0.0295832732681818,0.00382710664090909,-0.354449740454545,-0.642050515,0.0764832471304546,0.219952845181818,-0.0935184360181818,-0.939673766818182,-0.944104886363636,-0.92719241,0.0296014137090909,-0.0270976569090909,-0.444640860909091,-0.377598602272727,-0.451114613181818,-0.1330599105,-0.388955637727273,-0.665547723636364,-0.482172029090909,-0.126888896863636,-0.126888896863636,-0.0363532663636364,-0.223751816518182,-0.644416388636364,0.118339545340909,0.190673821868182,-0.1092913705,-0.0416593402068182,-0.0801154312545455,-0.500476129545455,-0.423153909545455,-0.437456513181818,-0.205526546681818,-0.323464307272727,-0.0977799986818182,-0.2723853645,-0.673087576363636
"8","SITTING",23,0.273493254730108,-0.019589258786828,-0.109093982385242,0.662324737580645,0.0146209197354839,0.0518662466372043,0.0778588215843817,0.0200470964972984,-0.000717680881887096,-0.0220890418013172,-0.0825972963754032,0.074694942324328,-0.0966990737225806,-0.0432722741798387,-0.0621959093526344,-0.532754757205108,-0.532754757205108,-0.58640067170914,-0.544207964433387,-0.623412641977151,-0.599080886430645,-0.548483208943548,-0.49021281618414,-0.617521836605645,-0.628231338392742,-0.578870810235484,-0.685136501518817,-0.497783811010484,-0.617685416736559,-0.529029284118011,-0.542663319457527,-0.534657191683602,-0.584111049810215,-0.622594039757258,-0.532078546615699,-0.450557203409946,-0.964393040295699,-0.960318907096774,-0.934236146612903,-0.608183751830914,-0.61898123051828,-0.603048769571532,-0.755738625241935,-0.500338191139785,-0.609683451821774,-0.728692138333333,-0.546043593651882,-0.740518145887097,-0.56557562579215,-0.56557562579215,-0.55872531418629,-0.541949073660753,-0.573942888021613,-0.633839114436559,-0.554471679592177,-0.474767543716048,-0.635054351475538,-0.636977610060753,-0.627540367652688,-0.779197054064516,-0.50785054741371,-0.644131036807258,-0.657048917971505,-0.583832309145968,-0.632288527203763,-0.593735302105376
"9","SITTING",25,0.275301467772127,-0.0193221769314914,-0.10962903098044,0.672386622127139,0.0471601427530562,0.239226040930391,0.0817657442063814,0.00638633884442543,-0.010346171499489,-0.00298151164792176,-0.083900354157824,0.0993606079900489,-0.108263884562298,-0.0389884753435208,-0.0555782223647433,-0.583377749713936,-0.583377749713936,-0.783445354474328,-0.625733064258924,-0.849630706259169,-0.748416509682152,-0.600027697242054,-0.738509947579462,-0.804144642836186,-0.740570312249389,-0.849504849486553,-0.672197763601467,-0.81313379207824,-0.746832213594132,-0.69501971,-0.779190075892421,-0.754236109755501,-0.875970674743276,-0.716264537547677,-0.531421035602689,-0.64709556105868,-0.950017091344743,-0.901088770963325,-0.880682330706602,-0.79682335007335,-0.722502919364303,-0.860669382640587,-0.683131970775061,-0.752261013276284,-0.74741022,-0.768682473178484,-0.902628080757946,-0.831848667286064,-0.659015505611247,-0.659015505611247,-0.780451867848411,-0.68515279467066,-0.872776184449878,-0.705223686579951,-0.529064652290954,-0.630224637674572,-0.807712525721271,-0.721707668572127,-0.870541516210269,-0.690398481943765,-0.723584437530562,-0.771208929095355,-0.695367928718826,-0.783547229755501,-0.697213120366748,-0.877714953691932
"10","SITTING",26,0.2730365808625,-0.0161687277463495,-0.107637894928571,0.615123534668367,0.10870478277551,0.234107010472449,0.0808743261341837,0.00767709978181122,-0.00724891943768878,-0.020659932105102,-0.0827415060904082,0.0917853294044643,-0.0988125627461224,-0.040476400288852,-0.0558282743354031,-0.600932264175765,-0.600932264175765,-0.694917859209184,-0.694597662936224,-0.798325916709184,-0.65109030186199,-0.610425833240306,-0.724046087155612,-0.699413168295663,-0.696726473912755,-0.76956529125,-0.703109561068878,-0.799353075357143,-0.689404846813776,-0.6317569828625,-0.679278323637755,-0.770504884821429,-0.823865297193878,-0.623101031168367,-0.585967142418112,-0.70498062744898,-0.96781789994898,-0.959713562227041,-0.955643363545918,-0.682815652993112,-0.678386582086227,-0.778349460841837,-0.766673970339286,-0.800675471045918,-0.703347205619898,-0.732321370690816,-0.836112175331633,-0.773101524821429,-0.620355788665816,-0.620355788665816,-0.677426336392347,-0.751833690215051,-0.818279112908163,-0.61349959767602,-0.600274809826275,-0.718490475765306,-0.694314518927551,-0.6803580612,-0.78604912494898,-0.78740310059949,-0.803635337372449,-0.735942384438775,-0.673917799546684,-0.678025758312755,-0.782624320831633,-0.823991408418367
